Nome Reduzido,ISPB,CNPJ
6PAY IP,07322044,07.322.044/0001-87
7TRUST FINANCE IP S.A.,33930368,33.930.368/0001-08
99PAY IP S.A.,24313102,24.313.102/0001-25
A BANK,33330067,33.330.067/0001-43
A27 IP S/A,35534511,35.534.511/0001-78
A55 SCD S.A.,48756121,48.756.121/0001-94
ACCESSTAGE IP LTDA.,00000000,46.410.407/0001-98
ACCREDITO SCD S.A.,37715993,37.715.993/0001-98
ACESSO SOLUÇÕES DE PAGAMENTO S.A. - INSTITUIÇÃO DE PAGAMENTO,13140088,13.140.088/0001-99
ACG IP S.A.,10868663,10.868.663/0001-86
ADYEN DO BRASIL IP LTDA.,14796606,14.796.606/0001-90
AIBR IP LTDA.,32246162,32.246.162/0001-09
AILOG IP LTDA.,07398335,07.398.335/0001-59
AL5 S.A. SCFI,27214112,27.214.112/0001-00
ALL IN CRED SCD S.A.,51414521,51.414.521/0001-26
AN SPACE PAY,22443203,22.443.203/0001-95
APE POUPEX,00655522,00.655.522/0001-21
APROMS NET IP LTDA.,37168145,37.168.145/0001-06
APTARE,16876258,16.876.258/0001-96
ARTTA SCD,42259084,42.259.084/0001-22
ASA SCFI S.A.,48703388,48.703.388/0001-13
ASAAS IP S.A.,19540550,19.540.550/0001-21
ASTROPAY,34006497,34.006.497/0001-77
ATF SCD S.A.,44728700,44.728.700/0001-72
ATICCA SCD S.A.,44478623,44.478.623/0001-40
AZIMUT BRASIL DTVM LTDA,18684408,18.684.408/0001-95
B3 IP LTDA,00000000,47.825.528/0001-63
B91,33735811,33.735.811/0001-90
BANCO BARI S.A.,00556603,00.556.603/0001-74
BANCO BTG PACTUAL S.A.,30306294,30.306.294/0001-45
BANCO DIGIO,27098060,27.098.060/0001-45
BANCO GENIAL,45246410,45.246.410/0001-55
BANCO INBURSA,04866275,04.866.275/0001-63
BANCO INTER,00416968,00.416.968/0001-01
BANCO MASTER,33923798,33.923.798/0001-00
BANCO ORIGINAL,92894922,92.894.922/0001-08
BANCO PAN,59285411,59.285.411/0001-13
BANCO RANDON S.A.,11476673,11.476.673/0001-39
BANCO SEMEAR,00795423,00.795.423/0001-45
BANCO SICOOB S.A.,02038232,02.038.232/0001-64
BANCO TOPÁZIO S.A.,07679404,07.679.404/0001-00
BANCO TRAVELEX S.A.,11703662,11.703.662/0001-44
BANKOSO INSTITUICAO DE PAGAMEN,32053736,32.053.736/0001-14
BANKROW IP S.A.,34837066,34.837.066/0001-52
BANKRY,28595756,28.595.756/0001-40
BANQI,30723871,30.723.871/0001-02
BANRISUL PAGAMENTOS IP,92934215,92.934.215/0001-06
BASS PAGO,37293930,37.293.930/0001-90
BCO ABC BRASIL S.A.,28195667,28.195.667/0001-06
BCO AFINZ S.A. - BM,04814563,04.814.563/0001-74
BCO AGIBANK S.A.,10664513,10.664.513/0001-50
BCO ARBI S.A.,54403563,54.403.563/0001-50
BCO B3 S.A.,00997185,00.997.185/0001-50
BCO BANESTES S.A.,28127603,28.127.603/0001-78
BCO BLUEBANK S.A.,58497702,58.497.702/0001-02
BCO BMG S.A.,61186680,61.186.680/0001-74
BCO BNP PARIBAS BRASIL S A,01522368,01.522.368/0001-82
BCO BRADESCO S.A.,60746948,60.746.948/0001-12
BCO BRASILEIRO DE CRÉDITO S.A.,01852137,01.852.137/0001-37
BCO BS2 S.A.,71027866,71.027.866/0001-34
BCO BV S.A.,01858774,01.858.774/0001-10
BCO C6 S.A.,31872495,31.872.495/0001-72
BCO CITIBANK S.A.,33479023,33.479.023/0001-80
BCO COOPERATIVO SICREDI S.A.,01181521,01.181.521/0001-55
BCO CREFISA S.A.,61033106,61.033.106/0001-86
BCO CSF S.A.,08357240,08.357.240/0001-50
BCO DA AMAZONIA S.A.,04902979,04.902.979/0001-44
BCO DAYCOVAL S.A,62232889,62.232.889/0001-90
BCO DO BRASIL S.A.,00000000,00.000.000/0001-91
BCO DO EST. DE SE S.A.,13009717,13.009.717/0001-46
BCO DO EST. DO PA S.A.,04913711,04.913.711/0001-08
BCO DO ESTADO DO RS S.A.,92702067,92.702.067/0001-96
BCO DO NORDESTE DO BRASIL S.A.,07237373,07.237.373/0001-20
BCO FIBRA S.A.,58616418,58.616.418/0001-08
BCO GUANABARA S.A.,31880826,31.880.826/0001-16
BCO HSBC S.A.,53518684,53.518.684/0001-84
BCO INDUSTRIAL DO BRASIL S.A.,31895683,31.895.683/0001-16
BCO J.P. MORGAN S.A.,33172537,33.172.537/0001-98
BCO KEB HANA DO BRASIL S.A.,02318507,02.318.507/0001-13
BCO LUSO BRASILEIRO S.A.,59118133,59.118.133/0001-00
BCO MERCANTIL DO BRASIL S.A.,17184037,17.184.037/0001-10
BCO PAULISTA S.A.,61820817,61.820.817/0001-09
BCO PINE S.A.,62144175,62.144.175/0001-20
BCO RENDIMENTO S.A.,68900810,68.900.810/0001-38
BCO RIBEIRAO PRETO S.A.,00517645,00.517.645/0001-04
BCO SAFRA S.A.,58160789,58.160.789/0001-28
BCO SANTANDER (BRASIL) S.A.,90400888,90.400.888/0001-42
BCO SENFF S.A.,11970623,11.970.623/0001-03
BCO SOFISA S.A.,60889128,60.889.128/0001-80
BCO TRIANGULO S.A.,17351180,17.351.180/0001-59
BCO VOTORANTIM S.A.,59588111,59.588.111/0001-03
BCO VR S.A.,78626983,78.626.983/0001-63
BCO WESTERN UNION,13720915,13.720.915/0001-13
BCO XP S.A.,33264668,33.264.668/0001-03
BEES IP LTDA.,35523352,35.523.352/0001-06
BEETELLER,32074986,32.074.986/0001-30
BELLUNO IP LTDA.,25238191,25.238.191/0001-55
BELVO IP,00000000,43.215.815/0001-09
BFC SCD S.A.,59396084,59.396.084/0001-77
BIPA INSTITUICAO DE PAGAMENTO,40910463,40.910.463/0001-05
BIT SCD S.A.,58367961,58.367.961/0001-19
BITSO IP LTDA,35136120,35.136.120/0001-03
BIZ IP LTDA.,12481100,12.481.100/0001-66
BK IP S.A.,16814330,16.814.330/0001-50
BLU IP LTDA.,10506341,10.506.341/0001-97
BLU PAY,04838403,04.838.403/0001-65
BM PLENO S.A.,61024352,61.024.352/0001-71
BMP SCD S.A.,34337707,34.337.707/0001-00
BMP SCMEPP LTDA,11581339,11.581.339/0001-45
BMS SCD S.A.,17826860,17.826.860/0001-81
BNK DIGITAL SCD S.A.,45331622,45.331.622/0001-30
BNS CAPITAL PAGAMENTOS LTDA,40557732,40.557.732/0001-00
BOFA MERRILL LYNCH BM S.A.,62073200,62.073.200/0001-21
BOKU NETWORK BRASIL IP,7115294,07.115.294/0001-46
BONUSPAGO SCD S.A.,36586946,36.586.946/0001-29
BPY CCTVM S.A.,27842177,27.842.177/0001-91
BRASIL CARD IP LTDA,03130170,03.130.170/0001-89
BRB - BCO DE BRASILIA S.A.,00000208,00.000.208/0001-00
BRCONDOS SCD S.A.,49933388,49.933.388/0001-72
